CNPJ,RAZAO,NOME_FANTASIA,DATA_ABERTURA,CNAE,DESCRICAO_CNAE,NATUREZA_JURIDICA,DESCRICAO_NATUREZA_JURIDICA,TIPO,TITULO,LOGRADOURO,NUMERO,COMPLEMENTO,ENDERECO,BAIRRO,CIDADE,UF,CEP,DDD1,FONE1,DDD2,FONE2,SITUACAO_CADASTRAL,MATRIZ,PORTE,FATURAMENTO_PRESUMIDO_ANUAL,QTD_PROPRIETARIO,QTD_FUNCIONARIOS
 18.256.799/0001-47,RIVIERA PARK THERMAS FLAT SERVICE,XXXXXXXXXXXXXXXXXX,06/06/2013,8112500,Condomínios prediais,3085,Condomínio Edilício ,AVENIDA,,CIRILO LOPES MORAES,,Q 27 LT 1 R,AV CIRILO LOPES MORAES SN Q 27 LT 1 R,TURISTA,CALDAS NOVAS,GO,75690000,64,34556109,64,996429253,ATIVA,1,PEQUENA, R$ 2.150.000,00 ,,323
 77.837.979/0001-81,AGRICOLA HORIZONTE LTDA,,03/01/1979,4623199,Comércio atacadista de matérias-primas agrícolas não especificadas anteriormente,2062,Sociedade Empresária Limitada ,AVENIDA,,IRIO JACOB WELP,600,,AV IRIO JACOB WELP 600,,MARECHAL CANDIDO RONDON,PR,85960000,45,991031766,45,991430803,ATIVA,1,GRANDE, R$ 340.000.000,00 ,3,562
 30.278.428/0001-61,LOREAL BRASIL COMERCIAL DE COSMETICOS LTDA ,LOREAL BRASIL ,06/02/1979,4646001,Comércio atacadista de cosméticos e produtos de perfumaria,2062,Sociedade Empresária Limitada ,AVENIDA,BARAO,DE TEFE,27,LOJA 201 E SALA 501 SALA 1101 SALA 120,AVENIDA BARAO DE TEFE 27       LOJA 201 E SALA 501       SALA 1101 SALA 120,SAUDE,RIO DE JANEIRO,RJ,20220460,32,984040832,71,982010509,ATIVA,1,GRANDE, R$ 12.125.000,00 ,3,3281
 61.198.164/0001-60,PORTO SEGURO COMPANHIA DE SEGUROS GERAIS,,09/02/1966,6512000,Sociedade seguradora de seguros não vida,2054,Sociedade Anônima Fechada ,AVENIDA,,RIO BRANCO,1489,RUA GUAIANASES 1238,AV RIO BRANCO 1489 RUA GUAIANASES 1238,CAMPOS ELISEOS,SAO PAULO,SP,1205001,31,33672752,11,42081500,ATIVA,1,GRANDE, R$ 1.500.000.000,00 ,25,11392
 00.245.454/0004-75,J.G.G. SUPERMERCADOS LTDA,SUPERMERCADO SEMAR,08/08/2006,4711302,Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercad,2062,Sociedade Empresária Limitada ,AVENIDA,,MATO GROSSO,838,,AV MATO GROSSO 838,INDAIA,CARAGUATATUBA,SP,11665251,12,38822564,11,42288444,ATIVA,1,MÉDIA, R$ 41.500.000,00 ,2,604
 12.279.637/0001-48,SAS COMERCIO DE SECOS E MOLHADOS LTDA,,23/07/2010,4711302,Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercad,2062,Sociedade Empresária Limitada ,AVENIDA,,NAPOLI,500,Q QC 1 LT AREA LUC 39,AV NAPOLI 500 Q QC 1 LT AREA LUC 39,RESIDENCIAL ELDORADO,GOIANIA,GO,74367640,62,32516565,62,32964400,ATIVA,1,GRANDE, R$ 172.000.000,00 ,2,360
 29.857.060/0001-07,CONDOMINIO LOG RIO,LOG RIO,26/05/2017,8112500,Condomínios prediais,3085,Condomínio Edilício ,AVENIDA,,BRASIL,41432,,AV BRASIL 41432,CAMPO GRANDE,RIO DE JANEIRO,RJ,23078001,21,967704954,21,971174629,ATIVA,1,PEQUENA, R$ 900.000,00 ,,2
 48.693.832/0001-67,IATE CLUBE DE SANTOS,,11/12/1969,9312300,Clubes sociais, esportivos e similares,3999,Associação Privada,AVENIDA,,HIGIENOPOLIS,18,,AV HIGIENOPOLIS 18,HIGIENOPOLIS,SAO PAULO,SP,1238000,13,33484008,13,33484044,ATIVA,1,MÉDIA, R$ 41.500.000,00 ,9,66
 42.361.873/0001-70,TATE & LYLE BRASIL S.A.,,08/11/1974,2099199,Fabricação de outros produtos químicos não especificados anteriormente,2054,Sociedade Anônima Fechada ,AVENIDA,,IRAI,438,AND 11,AV IRAI 438 AND 11,INDIANOPOLIS,SAO PAULO,SP,4082001,11,942466269,16,996218228,ATIVA,1,GRANDE, R$ 236.000.000,00 ,7,230
 73.695.595/0001-10,INDUSTRIAL METALURGICA ROTAMIL  EIRELI,,16/11/1993,2949299,Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente,2305,Empresa individual de responsabilidade limitada (de Natureza Empresária),RUA,,VALDEMAR ANTONIO CALLONI,,KM 89,R VALDEMAR ANTONIO CALLONI KM 89,NOSSA SENHORA DA SAUDE,CAXIAS DO SUL,RS,95032475,54,999093318,54,999689636,ATIVA,1,GRANDE, R$ 41.500.000,00 ,1,613
 61.189.288/0001-89,MARISA LOJAS S.A.,LOJAS MARISA,25/08/1966,4781400,Comércio varejista de artigos do vestuário e acessórios,2046,Sociedade Anônima Aberta ,RUA,,JAMES HOLLAND,422,422 422,R JAMES HOLLAND 422 422 422,BARRA FUNDA,SAO PAULO,SP,1138000,11,21093054,11,996617553,ATIVA,1,GRANDE, R$ 1.500.000.000,00 ,8,2030
 00.489.050/0001-84,JJGC INDUSTRIA E COMERCIO DE MATERIAIS DENTARIOS S.A,NEODENT,03/03/1995,3250701,Fabricação de instrumentos não eletrônicos e utensílios para uso médico, cirúrgico, odontológico e d,2054,Sociedade Anônima Fechada ,AVENIDA,,JUSCELINO KUBITSCHEK DE OLIVEIRA,3291,,AV JUSCELINO KUBITSCHEK DE OLIVEIRA 3291,CIDADE INDUSTRIAL,CURITIBA,PR,81270200,41,21691000,91,30393631,ATIVA,1,GRANDE, R$ 440.000.000,00 ,16,1176
 59.106.666/0001-71,TERMOMECANICA SAO PAULO S A,,03/08/1966,2443100,Metalurgia do cobre,2054,Sociedade Anônima Fechada ,AVENIDA,,DO MAR,2652,,AV CAMINHO DO MAR 2652,RUDGE RAMOS,SAO BERNARDO DO CAMPO,SP,9612000,11,930375026,11,930375735,ATIVA,1,GRANDE, R$ 1.500.000.000,00 ,13,2304
 56.527.062/0001-00,SUPERMERCADO HIROTA LTDA,HIROTA SUPERMERCADOS - LOJA 03,13/10/1986,4711302,Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercad,2062,Sociedade Empresária Limitada ,RUA,,AGOSTINHO GOMES,1783,1803 1805,R AGOSTINHO GOMES 1783 1803 1805,IPIRANGA,SAO PAULO,SP,4206000,11,20665300,11,33841123,ATIVA,1,GRANDE, R$ 340.000.000,00 ,7,350
 00.529.443/0003-36,OBRAS SOCIAIS DA DIOCESE DE RIO BRANCO,HOSPITAL SANTA JULIANA,18/12/1997,8610101,Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências,3999,Associação Privada,RUA,,ALVORADA,806,,R ALVORADA 806,BOSQUE,RIO BRANCO,AC,69900631,68,32124767,68,32232200,ATIVA,0,, R$ -   ,1,1219
 61.793.667/0001-83,GRAMATURA PAPEIS E ARTEFATOS LTDA,,25/10/1989,1721400,Fabricação de papel,2062,Sociedade Empresária Limitada ,,,ESTM QUE LIGA COROADOS AO BAIRRO DO BARRO PRETO BRAUNA,,BRANCO,ESTM QUE LIGA COROADOS AO BAIRRO DO BARRO PRETO BRAUNA SN BRANCO,BAIXOTES,COROADOS,SP,16260000,18,997151289,18,996702538,ATIVA,1,MÉDIA, R$ 3.000.000,00 ,2,85
 03.497.916/0001-97,LABELPRESS INDUSTRIA E COMERCIO DA AMAZONIA LTDA.,LABELPRESS,11/11/1999,1741902,Fabricação de produtos de papel, cartolina, papel-cartão e papelão ondulado para uso comercial e de ,2062,Sociedade Empresária Limitada ,AVENIDA,,TORQUATO TAPAJOS,9691,LOTE 46,AVENIDA TORQUATO TAPAJOS 9691 LOTE 46,TARUMA,MANAUS,AM,69041025,92,21017316,92,36523705,ATIVA,1,GRANDE, R$ 41.500.000,00 ,2,373
 01.553.804/0001-80,MEGA BRASIL IND E COM DE EQUIPAMENTOS INDUSTRIAIS LTDA,MEGA BRASIL,18/11/1996,2862300,Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo, peças e acess,2062,Sociedade Empresária Limitada ,AVENIDA,,PORTUGAL,515-A,,AVENIDA PORTUGAL 515-A,JARDIM PILAR,MAUA,SP,9370000,11,976332951,11,45133100,ATIVA,1,MÉDIA, R$ 8.900.000,00 ,4,193
 03.574.114/0001-33,PAZIGRAM-PAZINI GRANITOS E MARMORES LTDA,,06/01/2000,2391503,Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras,2062,Sociedade Empresária Limitada ,RODOVIA,,CACHOEIRO X FRADE,,KM 11 N SAO JOSE DP,ROD CACHOEIRO X FRADE KM 11 N SAO JOSE DP,,ITAPEMIRIM,ES,29330000,28,999075570,28,999224592,ATIVA,1,MÉDIA, R$ 6.750.000,00 ,2,54
 81.804.684/0010-77,TRANSPORTES E ARMAZENAGEM ZILLI LTDA,TRANSZILLI EXPRESSO E LOGISTICA,11/12/2013,5211701,Armazéns gerais - emissão de warrant,2062,Sociedade Empresária Limitada ,AVENIDA,,DOS OITIS,8880,LT 7 B 10,AV DOS OITIS 8880 LT 7 B 10,DISTRITO INDUSTRIAL II,MANAUS,AM,69007002,62,32832908,92,984555023,ATIVA,0,GRANDE, R$ 172.000.000,00 ,2,41
 06.005.455/0001-86,IRIEL INDUSTRIA E COMERCIO DE SISTEMAS ELETRICOS LTDA,,20/11/2003,2732500,Fabricação de material elétrico para instalações em circuito de consumo,2062,Sociedade Empresária Limitada ,RUA,,BOA SAUDE,2100,,RUA NAZARIO 2100,RIO BRANCO,CANOAS,RS,92200000,51,995741250,51,997141982,ATIVA,1,GRANDE, R$ 72.000.000,00 ,8,962
 07.874.295/0001-74,J.A.C INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,JEITO CASEIRO,31/01/2006,1091101,Fabricação de produtos de panificação industrial,2062,Sociedade Empresária Limitada ,RUA,,DO PRENSISTA,75,,R DO PRENSISTA 75,CENTRO EMPRESARIAL DE LAVRAS,LAVRAS,MG,37200000,35,991925264,35,38211541,ATIVA,1,MÉDIA, R$ 30.000.000,00 ,2,412
 07.976.975/0001-07,MINERADORA DE AGUA ANA ROSA LTDA,,25/04/2006,1121600,Fabricação de águas envasadas,2062,Sociedade Empresária Limitada ,RUA,,ATAULFO ALVES,1813,,R ATAULFO ALVES 1813,CONJUNTO RESIDENCIAL CIDADE ALTA,MARINGA,PR,87053070,44,33021303,44,30251303,ATIVA,1,MICRO, R$ 160.000,00 ,2,8
 06.981.381/0001-13,CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.,,27/08/2004,7210000,Pesquisa e desenvolvimento experimental em ciências físicas e naturais,2046,Sociedade Anônima Aberta ,AVENIDA,BRIGADEIRO,FARIA LIMA,2179,DECIMO ANDAR - SALA 3,AV BRIGADEIRO FARIA LIMA 2179 DECIMO ANDAR - SALA 3,JARDIM PAULISTANO,SAO PAULO,SP,1452000,19,997686340,11,38122100,ATIVA,1,GRANDE, R$ 236.000.000,00 ,48,
 86.377.470/0005-18,TERCILIO MARCHETTI INDUSTRIA E COMERCIO DE AUTOPECAS LTDA,MOLAS MARCHETTI,26/10/2011,2944100,Fabricação de peças e acessórios para o sistema de direção e suspensão de veículos automotores,2062,Sociedade Empresária Limitada ,RODOVIA,,SC,417,2180,ROD SC 417 2180,CENTRO,RIO DOS CEDROS,SC,89121000,47,33861011,,,ATIVA,0,GRANDE, R$ 56.700.000,00 ,3,55
 14.351.504/0001-60,CONSORCIO SHOPPING SAO CAETANO,,26/08/2011,6822600,Gestão e administração da propriedade imobiliária,2151,Consórcio de Sociedades ,ALAMEDA,,TERRACOTA,545,,AL TERRACOTA 545,CERAMICA,SAO CAETANO DO SUL,SP,9531190,11,943780903,11,943781832,ATIVA,1,MÉDIA, R$ 3.400.000,00 ,3,106
 10.230.480/0001-30,FERREIRA COSTA & CIA LTDA,,08/09/1966,4744099,Comércio varejista de materiais de construção em geral,2062,Sociedade Empresária Limitada ,AVENIDA,SANTO,ANTONIO,515,55,AV STO ANTONIO 515 55,SANTO ANTONIO,GARANHUNS,PE,55293909,71,35051567,81,37628000,ATIVA,1,GRANDE, R$ 550.000.000,00 ,11,1004
 01.238.035/0001-26,INDUSTRIA DE SORVETES E DERIVADOS LTDA,,10/06/1996,1053800,Fabricação de sorvetes e outros gelados comestíveis,2062,Sociedade Empresária Limitada ,AVENIDA,GOVERNADOR,NILO COELHO,0,QUADRAB LOTE 5K,AVENIDA GOVERNADOR NILO COELHO DISTRITO INDUSTRIAL 000 QUADRAB LOTE 5K,DISTRITO INDUSTRIAL,ABREU E LIMA,PE,53520810,81,988854020,81,988603843,ATIVA,1,GRANDE, R$ 56.700.000,00 ,6,1095
 35.402.759/0001-85,BIMBO DO BRASIL LTDA,,27/08/1990,1091101,Fabricação de produtos de panificação industrial,2062,Sociedade Empresária Limitada ,RUA,,ERICO VERISSIMO,342,A C VIVIANE CLAUDIA,R ERICO VERISSIMO 342 A C VIVIANE CLAUDIA,JARDIM CAMBARA,SAO PAULO,SP,5560900,11,976033301,87,21229686,ATIVA,1,GRANDE, R$ 1.500.000.000,00 ,8,3399
 72.114.994/0001-88,CVI REFRIGERANTES LTDA,,15/04/1993,1122401,Fabricação de refrigerantes,2062,Sociedade Empresária Limitada ,RODOVIA,,BR-287,,KM 250,RODOVIA BR-287 S/N KM    250,AGRO-INDUSTRIAL,SANTA MARIA,RS,97037400,55,32443772,55,32901500,ATIVA,1,GRANDE, R$ 440.000.000,00 ,3,1293
 05.422.243/0001-31,INSTITUTO INHOTIM,,01/11/2002,9102301,Atividades de museus e de exploração de lugares e prédios históricos e atrações similares,3999,Associação Privada,RUA,,B,20,X CENTRO,R B 20 X CENTRO,,BRUMADINHO,MG,35460000,31,995289045,31,995380586,ATIVA,1,MÉDIA, R$ 41.500.000,00 ,3,1252
 03.779.994/0005-08,SANTA IZABEL ALIMENTOS LTDA,,27/03/2000,155501,Criação de frangos para corte,2062,Sociedade Empresária Limitada ,RODOVIA,,BR 316,,PROX VL APEU,ROD BR 316 PROX VL APEU,PICARREIRA,SANTA ISABEL DO PARA,PA,68790000,91,38232233,91,40094400,ATIVA,0,GRANDE, R$ 550.000.000,00 ,3,307
 00.412.182/0001-08,GRAMALTO GRANITOS E MARMORES LTDA,,04/01/1995,2391503,Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras,2062,Sociedade Empresária Limitada ,RODOVIA,,ES HENOK PINHEIRO CUNHA,,KM 1,ROD ES HENOK PINHEIRO CUNHA KM 1,ZONA RURAL,JACIGUA,ES,29297000,28,999476807,28,35281027,ATIVA,1,MÉDIA, R$ 6.750.000,00 ,2,49
 62.045.026/0002-94,OLEOS MENU INDUSTRIA E COMERCIO LIMITADA,,24/05/1968,1041400,Fabricação de óleos vegetais em bruto, exceto óleo de milho,2062,Sociedade Empresária Limitada ,RUA,,AFONSO PENA,21500,,R AFONSO PENA 21500,JD INDUSTRIAL,GUARARAPES,SP,16700000,18,997686194,18,998105324,ATIVA,0,GRANDE, R$ 236.000.000,00 ,5,422
 64.080.021/0001-47,ELLO CORRENTES COMERCIO E INDUSTRIA LTDA,ELLO CORRENTES,16/08/1990,2815102,Fabricação de equipamentos de transmissão para fins industriais, exceto rolamentos,2062,Sociedade Empresária Limitada ,VIA,,ADAMO MELONI,4539,,V ADAMO MELONI 4539,SETOR INDUSTRIAL,SERTAOZINHO,SP,14175000,16,981657237,16,982260666,ATIVA,1,MÉDIA, R$ 22.400.000,00 ,2,342
 01.558.722/0001-29,VINIARTEFATOS COMERCIO IMPORTACAO E EXPORTACAO LTDA,VINIARTEFATOS,05/11/1996,4689399,Comércio atacadista especializado em outros produtos intermediários não especificados anteriormente,2062,Sociedade Empresária Limitada ,RUA,,TUIUIUS,95145,,R TUIUIUS 95145,PARQUE SANTA TERESA,CARAPICUIBA,SP,6340175,51,997700636,51,999953029,ATIVA,1,GRANDE, R$ 41.500.000,00 ,4,203
 64.810.955/0001-97,INCESA INDUSTRIA DE COMPONENTES ELETRICOS LTDA,,30/10/1990,2731700,Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica,2062,Sociedade Empresária Limitada ,RUA,,D,81,Q J,R D 81 Q J,DT INDUSTRIAL,OLIMPIA,SP,15400000,17,997458560,17,32817155,ATIVA,1,GRANDE, R$ 90.000.000,00 ,5,553
 59.723.874/0001-10,LUBRIFICANTES FENIX LTDA,,29/11/1988,1922502,Rerrefino de óleos lubrificantes,2062,Sociedade Empresária Limitada ,AVENIDA,,PARIS,3716,,AV PARIS 3716,CENTRO INDUSTRIAL,PAULINIA,SP,13140000,19,37561080,19,997182182,ATIVA,1,GRANDE, R$ 30.000.000,00 ,2,316
 17.480.850/0001-37,J. F. MANGUEIRAS INDUSTRIA E COMERCIO EIRELI,,14/12/2012,2229303,Fabricação de artefatos de material plástico para uso na construção, exceto tubos e acessórios,2305,Empresa individual de responsabilidade limitada (de Natureza Empresária),RUA,,JOAO ERBETTA,519,,R JOAO ERBETTA 519,JD PRIMAVERA,SANTA RITA DO PASSA QUATRO,SP,13670000,19,999007838,19,983770111,ATIVA,1,MÉDIA, R$ 1.350.000,00 ,2,150
 04.733.767/0018-29,SCHEFFER & CIA LTDA ,,10/10/2018,115600,Cultivo de soja,2062,Sociedade Empresária Limitada ,ROD,,BR 364,,KM1086 4 KM A DIREITA FAZEN TR,ROD BR 364 KM1086 4 KM A DIREITA FAZEN TR,ZONA RURAL,SAPEZAL,MT,78365000,65,30460700,,,ATIVA,0,MÉDIA, R$ 8.900.000,00 ,5,400
 19.357.388/0001-00,GOIAS RENDERING S/A,GOIAS RENDERING,21/11/2013,1013902,Preparação de subprodutos do abate,2054,Sociedade Anônima Fechada ,ESTRADA,,DO BUGRE,,KM 7 FAZENDA FAZENDINHA S N,EST DO BUGRE KM 7 FAZENDA FAZENDINHA S N,ZONA RURAL,TRINDADE,GO,75380000,62,983061234,62,999627672,ATIVA,1,MÉDIA, R$ 90.000.000,00 ,3,147
 34.023.483/0001-61,RAR INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,RAR ALIMENTOS,25/06/2019,1052000,Fabricação de laticínios,2062,Sociedade Empresária Limitada ,A,,RURAL,,ANEXO EST. FEDERAL BR 116 KM    33                  BLOCO II,A RURAL  ANEXO EST. FEDERAL BR 116 KM    33                  BLOCO III                 CXPST 212                                                      ,AREA RURAL DE VACARIA,VACARIA,RS,95219899,54,32314745,54,32318008,ATIVA,1,, R$ 12.125.000,00 ,6,136
 06.225.746/0001-80,FLC INDUSTRIA E COMERCIO DE PLASTICOS LTDA - EM RECUPERACAO JUDICIAL  ,,30/04/2004,4689399,Comércio atacadista especializado em outros produtos intermediários não especificados anteriormente,2062,Sociedade Empresária Limitada ,RUA,,LUIGI GALVANI,42,9 ANDAR CONJ 94,RUA LUIGI GALVANI 42       9 ANDAR             CONJ  94,CIDADE MONCOES,SAO PAULO,SP,4575020,12,36548884,12,36548871,ATIVA,1,GRANDE, R$ 12.125.000,00 ,2,446
 07.358.761/0001-69,GERDAU ACOS LONGOS S.A.,GERDAU COSIGUA,25/04/2005,2423702,Produção de laminados longos de aço, exceto tubos,2054,Sociedade Anônima Fechada ,AVENIDA,,JOAO XXIII,6777,PARTE,AV JOAO VINTE E TRES 6777 PARTE,SANTA CRUZ,RIO DE JANEIRO,RJ,23565235,51,34507665,51,33232000,ATIVA,1,GRANDE, R$ 1.500.000.000,00 ,11,2776
 08.008.080/0001-33,INDUSTRIA NORDESTINA DE ACESSORIOS PARA IRRIGACAO LTDA.,INDUSTRIA NORDESTINA,17/05/2006,2451200,Fundição de ferro e aço,2062,Sociedade Empresária Limitada ,AVENIDA,,OESTE,,GALPAO 1,AVENIDA PARQUE OESTE SNR GALPAO 1,DISTRITO INDUSTRIAL I,MARACANAU,CE,61939120,85,981472883,85,981715925,ATIVA,1,MÉDIA, R$ 8.900.000,00 ,2,423
 07.088.017/0001-91,SOCIEDADE HOSPITALAR ANGELINA CARON,HOSPITAL ANGELINA CARON,03/11/2004,8610101,Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências,3999,Associação Privada,RODOVIA,,DO CAQUI 1150,,KM 1,ROD DO CAQUI 1150 KM 1,ARACATUBA,CAMPINA GRANDE DO SUL,PR,83430000,41,35138238,41,35138288,ATIVA,1,GRANDE, R$ 120.000.000,00 ,4,2806
 16.694.812/0001-14,TEKSID DO BRASIL LTDA,,17/01/1974,2451200,Fundição de ferro e aço,2062,Sociedade Empresária Limitada ,RUA,SENADOR,GIOVANNI AGNELLI,230,A ATT SETOR FISC,R SEN GIOVANNI AGNELLI 230 A ATT SETOR FISC,DISTRITO INDUSTRIAL PAULO CAMILO NORTE,BETIM,MG,32681080,31,997558828,31,995083700,ATIVA,1,GRANDE, R$ 1.500.000.000,00 ,7,7211
 13.707.947/0001-89,W. R. FERNANDES EIRELI,,23/05/2011,3832700,Recuperação de materiais plásticos,2305,Empresa individual de responsabilidade limitada (de Natureza Empresária),RODOVIA,,PR 281,,KM 589 SN,ROD PR 281 KM 589 SN,LINHA COOPERATIVA,SANTA IZABEL DO OESTE,PR,85650000,46,35421235,,,ATIVA,1,MÉDIA, R$ 1.350.000,00 ,1,35
 07.858.383/0001-82,T.M.F. INDUSTRIA DE FERTILIZANTES INTELIGENTES LTDA,,01/02/2006,2013402,Fabricação de adubos e fertilizantes, exceto organo-minerais,2062,Sociedade Empresária Limitada ,RODOVIA,,170,,KM 87 SN,ROD 170 KM 87 SN,ZONA RURAL,PAINS,MG,35582000,37,999481763,37,998398727,ATIVA,1,MÉDIA, R$ 30.000.000,00 ,4,68
 81.672.099/0001-70,PARANATEX INDUSTRIA TEXTIL LTDA,PARANATEX,13/10/1989,1354500,Fabricação de tecidos especiais, inclusive artefatos,2062,Sociedade Empresária Limitada ,AVENIDA,,MINAS GERAIS,5445,,AV MINAS GERAIS 5445,NUCLEO HABITACIONAL ADRIANO CORREIA,APUCARANA,PR,86813250,11,964053806,11,964752515,ATIVA,1,GRANDE, R$ 41.500.000,00 ,8,454
 48.460.745/0001-60,RIBERBALL MERCANTIL E INDUSTRIAL LTDA,,12/05/1977,3240099,Fabricação de outros brinquedos e jogos recreativos não especificados anteriormente,2062,Sociedade Empresária Limitada ,RUA,,TAMBAU,1061,1061,R TAMBAU 1061 1061,VILA ELISA,RIBEIRAO PRETO,SP,14075010,16,21111621,16,21111600,ATIVA,1,GRANDE, R$ 72.000.000,00 ,4,694
 80.083.454/0001-02,MAC ENGENHARIA EIRELI ,,11/06/1987,4211101,Construção de rodovias e ferrovias,2305,Empresa individual de responsabilidade limitada (de Natureza Empresária),ALAMEDA,,SANTOS,200,ANDAR 01 CONJ 12,AL SANTOS 200 ANDAR 01 CONJ 12,CERQUEIRA CESAR,SAO PAULO,SP,1418000,51,35687491,51,40099656,ATIVA,1,GRANDE, R$ 90.000.000,00 ,2,5
 33.438.250/0001-67,DROGARIAS PACHECO S/A,,08/09/1966,4771701,Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas,2054,Sociedade Anônima Fechada ,AVENIDA,TENENTE,REBELO,675,RUA ACURUI 80,AVENIDA TENENTE REBELO 00675       RUA ACURUI 80,IRAJA,RIO DE JANEIRO,RJ,21230075,21,24895171,24,33544773,ATIVA,1,GRANDE, R$ 1.500.000.000,00 ,8,6059
 89.962.773/0001-62,SOCIEDADE DE BEBIDAS PANIZZON LTDA,,12/12/1970,1112700,Fabricação de vinho,2062,Sociedade Empresária Limitada ,VILA,,TRAVESSAO MARTINS,,S 15,VL TRAVESSAO MARTINS S 15,INTERIOR,FLORES DA CUNHA,RS,95270000,54,996619649,54,999863182,ATIVA,1,GRANDE, R$ 120.000.000,00 ,13,183
 03.790.904/0001-56,COMERCIAL CARAPA DE SECOS E MOLHADOS LTDA,SUPERMERCADOS MACHADO,06/07/1977,4711302,Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercad,2062,Sociedade Empresária Limitada ,AVENIDA,,MARECHAL RONDON,1198,,AV MARECHAL RONDON 1198,CENTRO SETOR LESTE,COLIDER,MT,78500000,66,999997413,66,35174563,ATIVA,1,GRANDE, R$ 236.000.000,00 ,2,741
 60.561.719/0001-23,AKZO NOBEL LTDA,,25/08/1966,8211300,Serviços combinados de escritório e apoio administrativo,2062,Sociedade Empresária Limitada ,RODOVIA,,RAPOSO TAVARES,,KM 18 5 BL 51 PREDIO ADMINISTR,ROD RAPOSO TAVARES KM 18 5 BL 51 PREDIO ADMINISTR,JARDIM ARPOADOR,SAO PAULO,SP,5577300,11,971023282,11,964146997,ATIVA,1,GRANDE, R$ 1.500.000.000,00 ,5,141
 01.615.814/0028-13,UNILEVER BRASIL INDUSTRIAL LTDA,,26/11/1997,2061400,Fabricação de sabões e detergentes sintéticos,2062,Sociedade Empresária Limitada ,RODOVIA,ENGENHEIRO,ERMENIO DE OLIVEIRA PENTEADO,,KM 52 KM 52 7 PART,ROD ENG ERMENIO DE OLIVEIRA PENTEADO KM 52 KM 52 7 PART,ITAICI,INDAIATUBA,SP,13340600,11,35689730,15,32255208,ATIVA,0,GRANDE, R$ 12.125.000,00 ,9,959
 28.835.700/0001-15,CONSTRUTORA F.ROZENTAL LTDA,,06/06/1984,4120400,Construção de edifícios,2062,Sociedade Empresária Limitada ,AVENIDA PERIMETRAL,PROFESSOR,JOSE DE SOUZA HERDY,1216,BOX 219 QUADRA49 LOTE 01 A 05,AVENIDA PERIMETRAL PROFESSOJOSE DE SOUZA HERDY 1216 BOX 219 QUADRA49 LOTE 01 A 05,JARDIM VINTE E CINCO DE AGOSTO,DUQUE DE CAXIAS,RJ,25071201,21,25374941,21,21574599,ATIVA,1,MÉDIA, R$ 1.650.000,00 ,2,35
 00.012.377/0001-60,CEREAL COMERCIO EXPORTACAO E REPRESENTACAO AGROPECUARIA SA,,03/12/1981,1041400,Fabricação de óleos vegetais em bruto, exceto óleo de milho,2054,Sociedade Anônima Fechada ,RUA,,PUBLICO,,CORREDOR ,RUA CORREDOR PUBLICO S/N,VILA SERPRO,RIO VERDE,GO,75902261,64,999951301,64,30518542,ATIVA,1,GRANDE, R$ 1.500.000.000,00 ,5,704
 22.926.299/0001-42,FABRICA DE COMPENSADOS ULIANA EIRELI  ,SOLPLAC,17/05/1988,1621800,Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada,2305,Empresa individual de responsabilidade limitada (de Natureza Empresária),RODOVIA,,BR DEZ,,KM 80,ROD BR DEZ KM 80,CENTRO,ULIANOPOLIS,PA,68632000,91,37261257,91,37261145,ATIVA,1,MÉDIA, R$ 8.900.000,00 ,1,20
 88.318.928/0001-60,INDUSTRIAL BATISTELLA ARTEFATOS DE BORRACHA LTDA,INDIBA,07/04/1967,2219600,Fabricação de artefatos de borracha não especificados anteriormente,2062,Sociedade Empresária Limitada ,ESTRADA,,BR 386 ESTRADA TABAI CANOAS 3561,,KM 434,EST BR 386 ESTRADA TABAI CANOAS 3561 KM 434,CENTRO,NOVA SANTA RITA,RS,92480000,51,996215141,51,980357202,ATIVA,1,MÉDIA, R$ 2.600.000,00 ,2,82
 34.954.956/0001-44,ASSOCIACAO CIVIL DOS PROPRIETARIOS E LOCATARIOS DO CENTRO EMPRESARIAL GWEST,,04/09/2019,9411100,Atividades de organizações associativas patronais e empresariais,3999,Associação Privada,V,,ANHANGUERA,,KM    24 2,V ANHANGUERA  KM    24 2                                                                                                                              ,JARDIM JARAGUA,SAO PAULO,SP,5275000,11,36234300,,,ATIVA,1,, R$ 640.000,00 ,3,10
